code,treatment,strength,route
71335-1678-1,Bisoprolol,5 mg/1,ORAL
71335-1678-2,Bisoprolol,5 mg/1,ORAL
71335-1678-3,Bisoprolol,5 mg/1,ORAL
71335-1678-4,Bisoprolol,5 mg/1,ORAL
71335-1678-5,Bisoprolol,5 mg/1,ORAL
52817-270-10,Bisoprolol,5 mg/1,ORAL
52817-270-30,Bisoprolol,5 mg/1,ORAL
52817-271-10,Bisoprolol,10 mg/1,ORAL
52817-271-30,Bisoprolol,10 mg/1,ORAL
68071-5097-3,Bisoprolol,5 mg/1,ORAL
63629-6907-1,Bisoprolol,10 mg/1,ORAL
63629-6907-2,Bisoprolol,10 mg/1,ORAL
63629-6907-3,Bisoprolol,10 mg/1,ORAL
63187-871-90,Bisoprolol,5 mg/1,ORAL
63187-871-60,Bisoprolol,5 mg/1,ORAL
68071-1582-3,Bisoprolol,5 mg/1,ORAL
65862-086-01,Bisoprolol,5 mg/1,ORAL
65862-086-30,Bisoprolol,5 mg/1,ORAL
51407-645-01,Bisoprolol,5 mg/1,ORAL
51407-645-30,Bisoprolol,5 mg/1,ORAL
51407-646-01,Bisoprolol,10 mg/1,ORAL
51407-646-30,Bisoprolol,10 mg/1,ORAL
61919-787-90,Bisoprolol,5 mg/1,ORAL
70954-455-10,Bisoprolol,5 mg/1,ORAL
62332-603-30,Bisoprolol,5 mg/1,ORAL
62332-603-31,Bisoprolol,5 mg/1,ORAL
62332-603-71,Bisoprolol,5 mg/1,ORAL
62332-604-30,Bisoprolol,10 mg/1,ORAL
62332-604-31,Bisoprolol,10 mg/1,ORAL
50268-127-15,Bisoprolol,5 mg/1,ORAL
63629-5173-1,Bisoprolol,5 mg/1,ORAL
63629-5173-2,Bisoprolol,5 mg/1,ORAL
63629-5173-3,Bisoprolol,5 mg/1,ORAL
63629-5173-4,Bisoprolol,5 mg/1,ORAL
63629-5173-5,Bisoprolol,5 mg/1,ORAL
70954-455-20,Bisoprolol,5 mg/1,ORAL
70954-456-10,Bisoprolol,10 mg/1,ORAL
70954-456-20,Bisoprolol,10 mg/1,ORAL
63187-871-30,Bisoprolol,5 mg/1,ORAL
29300-126-01,Bisoprolol,5 mg/1,ORAL
29300-126-05,Bisoprolol,5 mg/1,ORAL
29300-126-13,Bisoprolol,5 mg/1,ORAL
29300-127-01,Bisoprolol,10 mg/1,ORAL
29300-127-05,Bisoprolol,10 mg/1,ORAL
29300-127-13,Bisoprolol,10 mg/1,ORAL
65862-087-01,Bisoprolol,10 mg/1,ORAL
65862-087-30,Bisoprolol,10 mg/1,ORAL
62332-604-71,Bisoprolol,10 mg/1,ORAL
0093-3241-01,Bisoprolol,2.5 mg/1,ORAL
0093-3242-01,Bisoprolol,5 mg/1,ORAL
0093-3243-56,Bisoprolol,10 mg/1,ORAL
68462-878-01,Bisoprolol,2.5 mg/1,ORAL
68462-878-05,Bisoprolol,2.5 mg/1,ORAL
68462-878-30,Bisoprolol,2.5 mg/1,ORAL
68462-879-01,Bisoprolol,5 mg/1,ORAL
68462-879-05,Bisoprolol,5 mg/1,ORAL
68462-879-30,Bisoprolol,5 mg/1,ORAL
68462-880-01,Bisoprolol,10 mg/1,ORAL
68462-880-05,Bisoprolol,10 mg/1,ORAL
68462-880-30,Bisoprolol,10 mg/1,ORAL
70518-3333-0,Bisoprolol,2.5 mg/1,ORAL
42799-920-01,Bisoprolol,2.5 mg/1,ORAL
42799-920-02,Bisoprolol,2.5 mg/1,ORAL
42799-920-30,Bisoprolol,2.5 mg/1,ORAL
42799-921-01,Bisoprolol,5 mg/1,ORAL
42799-921-02,Bisoprolol,5 mg/1,ORAL
42799-921-30,Bisoprolol,5 mg/1,ORAL
42799-922-01,Bisoprolol,10 mg/1,ORAL
42799-922-02,Bisoprolol,10 mg/1,ORAL
42799-922-30,Bisoprolol,10 mg/1,ORAL
71335-1161-1,Bisoprolol,2.5 mg/1,ORAL
71335-1161-2,Bisoprolol,2.5 mg/1,ORAL
71335-1161-3,Bisoprolol,2.5 mg/1,ORAL
71335-0595-1,Bisoprolol,5 mg/1,ORAL
71335-0595-2,Bisoprolol,5 mg/1,ORAL
71335-0595-3,Bisoprolol,5 mg/1,ORAL
70954-412-10,Bisoprolol,2.5 mg/1,ORAL
70954-412-30,Bisoprolol,2.5 mg/1,ORAL
70954-412-40,Bisoprolol,2.5 mg/1,ORAL
70954-413-10,Bisoprolol,5 mg/1,ORAL
70954-413-30,Bisoprolol,5 mg/1,ORAL
70954-413-40,Bisoprolol,5 mg/1,ORAL
70954-414-10,Bisoprolol,10 mg/1,ORAL
70954-414-30,Bisoprolol,10 mg/1,ORAL
70954-414-40,Bisoprolol,10 mg/1,ORAL
50090-0796-0,Bisoprolol,2.5 mg/1,ORAL
50090-5905-0,Bisoprolol,10 mg/1,ORAL
0378-0501-01,Bisoprolol,2.5 mg/1,ORAL
0378-0503-01,Bisoprolol,5 mg/1,ORAL
0378-0505-01,Bisoprolol,10 mg/1,ORAL
71335-0240-1,Bisoprolol,10 mg/1,ORAL
71335-0240-2,Bisoprolol,10 mg/1,ORAL
70934-705-90,Bisoprolol,5 mg/1,ORAL
70518-1947-1,Bisoprolol,10 mg/1,ORAL
0378-0501-05,Bisoprolol,2.5 mg/1,ORAL
