treatment,type,code
Pembrolizumab,HCPCS,C9027
Pembrolizumab,HCPCS,J9271
Pembrolizumab,NDC,0006-3026-01
Pembrolizumab,NDC,0006-3026-02
Pembrolizumab,NDC,0006-3026-04
Pembrolizumab,NDC,0006-3029-02
Pembrolizumab,NDC,0006-3029-01
Necitumumab,HCPCS,C9475
Necitumumab,HCPCS,J9295
Necitumumab,NDC,00002-7716-01
Nivolumab,HCPCS,C9453
Nivolumab,HCPCS,J9299
Nivolumab,NDC,00003-3734-13
Nivolumab,NDC,00003-3756-14
Nivolumab,NDC,00003-3772-11
Nivolumab,NDC,00003-3774-12
Ipilimumab,HCPCS,C9284
Ipilimumab,HCPCS,J9228
Ipilimumab,NDC,00003-2327-11
Ipilimumab,NDC,00003-2328-22
Atezolizumab,HCPCS,C9483
Atezolizumab,HCPCS,J9022
Atezolizumab,NDC,50242-0917-01
Atezolizumab,NDC,50242-0917-86
Atezolizumab,NDC,50242-0918-01
Atezolizumab,NDC,50242-0918-86
Ramucirumab,HCPCS,C9025
Ramucirumab,HCPCS,J9308
Ramucirumab,NDC,00002-7669-01
Ramucirumab,NDC,00002-7678-01
