site,type,code
Brain,ICD9,1983
Brain,ICD10,C7931
Other,ICD9,196
Other,ICD9,1960
Other,ICD9,1961
Other,ICD9,1962
Other,ICD9,1963
Other,ICD9,1964
Other,ICD9,1965
Other,ICD9,1966
Other,ICD9,1967
Other,ICD9,1968
Other,ICD9,1969
Other,ICD9,197
Other,ICD9,1970
Other,ICD9,1971
Other,ICD9,1972
Other,ICD9,1973
Other,ICD9,1974
Other,ICD9,1975
Other,ICD9,1976
Other,ICD9,1977
Other,ICD9,1978
Other,ICD9,1979
Other,ICD9,198
Other,ICD9,1980
Other,ICD9,1981
Other,ICD9,1982
Other,ICD9,1984
Other,ICD9,1985
Other,ICD9,1986
Other,ICD9,1987
Other,ICD9,1988
Other,ICD9,1989
Other,ICD10,C77
Other,ICD10,C770
Other,ICD10,C771
Other,ICD10,C772
Other,ICD10,C773
Other,ICD10,C774
Other,ICD10,C775
Other,ICD10,C776
Other,ICD10,C777
Other,ICD10,C778
Other,ICD10,C779
Other,ICD10,C78
Other,ICD10,C780
Other,ICD10,C781
Other,ICD10,C782
Other,ICD10,C783
Other,ICD10,C784
Other,ICD10,C785
Other,ICD10,C786
Other,ICD10,C787
Other,ICD10,C788
Other,ICD10,C789
Other,ICD10,C79
Other,ICD10,C790
Other,ICD10,C791
Other,ICD10,C792
Other,ICD10,C794
Other,ICD10,C795
Other,ICD10,C796
Other,ICD10,C797
Other,ICD10,C798
Other,ICD10,C799
