treatment,type,code
biopsy,CPT,61140
biopsy,CPT,61575
biopsy,CPT,61750
biopsy,CPT,61751
biopsy,ICD9,0111
biopsy,ICD9,0112
biopsy,ICD9,0113
biopsy,ICD9,0114
biopsy,ICD9,0118
biopsy,ICD9,0119
chemotherapy_bevacizumab,HCPCS,C9257
chemotherapy_bevacizumab,HCPCS,J9035
chemotherapy_bevacizumab,HCPCS,Q5118
chemotherapy_bevacizumab,NDC,502420061
chemotherapy_bevacizumab,NDC,555130207
chemotherapy_bevacizumab,NDC,000690315
chemotherapy_bevacizumab,NDC,000690342
chemotherapy_bevacizumab,NDC,502420060
chemotherapy_bevacizumab,NDC,502420060
chemotherapy_bevacizumab,NDC,502420061
chemotherapy_bevacizumab,NDC,502420061
chemotherapy_bevacizumab,NDC,555130206
chemotherapy_bevacizumab,NDC,555130207
chemotherapy_bevacizumab,NDC,701211754
chemotherapy_bevacizumab,NDC,701211755
chemotherapy_carboplatin,NDC,000153210
chemotherapy_carboplatin,NDC,000153211
chemotherapy_carboplatin,NDC,000153212
chemotherapy_carboplatin,NDC,000153213
chemotherapy_carboplatin,NDC,000153214
chemotherapy_carboplatin,NDC,000153215
chemotherapy_carboplatin,NDC,000153216
chemotherapy_carboplatin,NDC,617030360
chemotherapy_carboplatin,NDC,007033249
chemotherapy_carboplatin,NDC,473350150
chemotherapy_carboplatin,NDC,473350151
chemotherapy_carboplatin,NDC,507420447
chemotherapy_carboplatin,NDC,507420448
chemotherapy_carboplatin,NDC,667580047
chemotherapy_carboplatin,NDC,680830190
chemotherapy_carboplatin,NDC,680830191
chemotherapy_carboplatin,NDC,680830192
chemotherapy_carboplatin,NDC,680830193
chemotherapy_carboplatin,NDC,712880100
chemotherapy_carboplatin,NDC,007034239
chemotherapy_carboplatin,NDC,007034244
chemotherapy_carboplatin,NDC,007034246
chemotherapy_carboplatin,NDC,572770105
chemotherapy_carboplatin,NDC,572770106
chemotherapy_carboplatin,NDC,674570491
chemotherapy_carboplatin,NDC,674570492
chemotherapy_carboplatin,NDC,674570493
chemotherapy_carboplatin,NDC,674570494
chemotherapy_carboplatin,NDC,674570608
chemotherapy_carboplatin,NDC,551500386
chemotherapy_carboplatin,NDC,167290295
chemotherapy_carboplatin,NDC,694480005
chemotherapy_carboplatin,NDC,007034248
chemotherapy_carboplatin,NDC,617030339
chemotherapy_carboplatin,NDC,633230172
chemotherapy_carboplatin,NDC,250210202
chemotherapy_carboplatin,NDC,473350284
chemotherapy_carboplatin,NDC,477810603
chemotherapy_carboplatin,NDC,477810604
